Keywords,Utterance,Response
"cats,plants,eating","How do I stop my cat from eating my plants?","Try placing plants on high shelves or in rooms the cat can't access. Citrus peel or coffee grounds around pots can deter cats. You can also use hanging planters. Offering cat grass or catnip gives pets a safe plant to chew on instead."
"birds,plants,bird-safety","What plants are safe for birds?","Bird-safe plants include spider plants, African violets, Boston ferns, impatiens, and nasturtiums. Avoid eucalyptus, avocado, and most flowering bulbs around birds. If your bird is free-roaming, ensure all accessible plants are non-toxic."
"plant nursery,seedlings","How do I find a good plant nursery near me?","Search Google Maps for 'plant nursery near me'. Local nurseries usually carry healthier, locally-adapted plants than big-box stores. Ask staff for care advice - they tend to be very knowledgeable and passionate about plants!"
"botanical gardens,plants,botany,gardens","Can I buy plants at botanical gardens?","Many botanical gardens have gift shops or plant sales where you can purchase rare, unusual, and locally-grown plants. Check the websites of botanical gardens near you for upcoming plant sales - they're often excellent and competitively priced."
"farmers market,plants,plant produce","Do farmers markets sell plants?","Yes! Many farmers markets feature local plant vendors selling herbs, vegetables, perennials, and native plants. These plants are often grown regionally, making them well-adapted to local conditions. It's also a great way to support local growers."
"plant swap,varities,community,enthusiasts","How do I find plant swaps in my area?","Search Groups for '[your city] plant swap' or check Nextdoor, Meetup.com, and local community boards. Plant swaps are a wonderful free way to get new varieties, share cuttings, and connect with local plant enthusiasts!"
"water,watering,moisture","How often should I water my plants?","Water frequency depends on the plant, pot size, and environment. A general rule: stick your finger 1-2 inches into the soil. If it's dry, water thoroughly. Most houseplants prefer watering every 1-2 weeks."
"sunlight,light,sun","How much light does my plant need?","Light needs vary widely. Succulents and cacti love full sun (6+ hours). Pothos and peace lilies thrive in low light. Check your plant's label or ask us for specific guidance based on the plant name!"
"fertilize,fertilizers,houseplants,indoor plant","How do I fertilize my houseplants?","Feed most houseplants with a balanced liquid fertilizer (e.g., 10-10-10) every 4 weeks during spring and summer. Reduce to monthly in fall and stop in winter when growth slows. Always water before fertilizing to avoid root burn."
"pruning process,prune,improving,plant health","How do I prune my plants?","Use clean, sharp scissors or pruning shears. Remove dead, yellowing, or damaged leaves first. For bushier growth, trim just above a leaf node. Prune in spring or early summer when plants are actively growing."
"repot,potted plants,repot process","When should I repot my plant?","Repot when roots start growing out of the drainage holes, the plant dries out very quickly after watering, or growth has slowed significantly. Spring is the best time to repot, using a pot only 1-2 inches larger than the current one."
"humidity,air moisture,mist","Do my plants need extra humidity?","Tropical plants like ferns, orchids, and calatheas love humidity above 50%. You can mist them, place a pebble tray with water nearby, or use a humidifier. Most standard houseplants are fine in normal indoor humidity."
"temperature,houseplants,plant health","What temperature is best for houseplants?","Most houseplants thrive between 60-80F (15-27C). Avoid placing plants near cold drafts, air conditioners, or heating vents. Tropical plants are especially sensitive to temperatures below 50F."
"mulching,soil moisture,mulch,mulch benefits","Should I mulch around my plants?","Yes! Mulch helps retain soil moisture, regulate temperature, and suppress weeds. Apply 2-3 inches of organic mulch (wood chips, straw, or compost) around the base of plants, keeping it a few inches away from stems to prevent rot."
"brown,leaf tips,apex,fluorine,effects of fluorine","What causes brown leaf tips on my plants?","Brown tips are often caused by low humidity, fluoride in tap water, over-fertilizing, or underwatering. Try using filtered or rainwater, misting the plant, and flushing the soil occasionally to remove salt buildup from fertilizers."
"bleached plant,bleach,sunburn,sunburn remedy","My plant looks bleached - is it sunburned?","Yes, plants can get sunburned! Move the plant to a spot with bright but indirect light. Remove severely damaged leaves. Plants can adapt to brighter light, but sudden exposure to intense sun causes bleached or white patches on leaves."
"nutrients,plants,plant leaves","How do I know if my plant is nutrient deficient?","Yellow leaves can indicate nitrogen deficiency. Purple-tinted leaves suggest phosphorus deficiency. Brown leaf edges may point to potassium deficiency. A balanced fertilizer addresses most deficiencies. For chronic issues, consider a soil test."
"seedling bed,raised bed garden","How do I start a raised bed garden?","Choose a sunny spot, build or buy a raised bed at least 12 inches deep, fill it with a mix of topsoil, compost, and perlite, and plant seedlings or seeds according to spacing guides. Water thoroughly after planting."
"companion planting,companion gardening","What is companion planting?","Companion planting is placing plants together that benefit each other. For example, basil repels pests near tomatoes, and marigolds deter nematodes. It can boost growth, improve flavour, and reduce pest pressure naturally."
"planting bulbs,bulb planting,soil depth","How deep should I plant my bulbs?","A general rule is to plant bulbs 2-3 times their diameter deep. For example, tulip bulbs (2 inches wide) go about 6 inches deep. Always plant bulbs with the pointed end facing up."
"spacing plants,plant spaces","How far apart should I space my plants?","Spacing depends on the plant variety. Check the seed packet or plant tag. Overcrowding reduces airflow and invites disease, while too much space wastes garden real estate. Most vegetable plants need 12-24 inches between them."
"seed germinating,germination,seedlings","Why aren't my seeds germinating?","Seeds may fail to germinate if the soil is too cold, too wet, or too dry. Check the ideal germination temperature for your seed variety. Most seeds need warmth (65-75F) and consistent moisture, not waterlogged conditions."
"Boston Fern, bathroom, bathroom plant","Best plant for a bathroom interior","Boston Ferns love high humidity and indirect light, making them perfect for bathrooms. If it gets crispy, increase the humidity."
